change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,0,20.0,Community Standards,"Community Standards Our Community Standards apply to everyone, all around the world, and to all types of content.",0.863,"  Community   Standards + Our + Community + Standards + apply + to + everyone, + all + around + the + world, + and + to + all + types + of + content."
modified/added,1,52.0,Facebook,Crowdtangle Facebook Open Research and Transparency,0.568,+ Crowdtangle   Facebook + Open + Research + and + Transparency
modified/added,2,20.0,Community Standards,"Community Standards Our Community Standards apply to everyone, all around the world, and to all types of content.",0.863,"  Community   Standards + Our + Community + Standards + apply + to + everyone, + all + around + the + world, + and + to + all + types + of + content."
modified/added,4,15.0,"REITERATING OUR COMMITMENT TO VOICE The goal of our Community Standards has always been to create a place for expression and give people a voice. This has not and will not change. Building community and bringing the world closer together depends on people’s ability to share diverse views, experiences, ideas and information. We want people to be able to talk openly about the issues that matter to them, even if some may disagree or find them objectionable. In some cases, we allow content for public awareness which would otherwise go against our Community Standards – if it is newsworthy and in the public interest. We do this only after weighing the public interest value against the risk of harm and we look to international human rights standards to make these judgments. As such, we consider the newsworthiness of content posted by anyone, including news organizations and individuals users. For example, we have allowed content that graphically depicts war or the consequences of war where it is important to public discourse. Our commitment to expression is paramount, but we recognize the internet creates new and increased opportunities for abuse. For these reasons, when we limit expression, we do it in service of one or more of the following values:","Introduction Every day, people use Facebook to share their experiences, connect with friends and family, and build communities. It’s a service for more than 2 billion people to freely express themselves across countries and cultures and in dozens of languages. The Facebook company recognizes how important it is for Facebook to be a place where people feel empowered to communicate, and we take our role seriously in keeping abuse off the service. That’s why we developed standards for what is and isn’t allowed on Facebook. These standards are based on feedback from people and the advice of experts in fields like technology, public safety and human rights. To ensure everyone’s voice is valued, we take great care to create standards that include different views and beliefs, especially from people and communities that might otherwise be overlooked or marginalized. Please note that the US English version of the Community Standards reflects the most up to date set of the policies and should be used as the master document. Our commitment to voice The goal of our Community Standards is to create a place for expression and give people a voice. The Facebook company wants people to be able to talk openly about the issues that matter to them, even if some may disagree or find them objectionable. In some cases, we allow content—which would otherwise go against our standards—if it’s newsworthy and in the public interest. We do this only after weighing the public interest value against the risk of harm, and we look to international human rights standards to make these judgments. Our commitment to expression is paramount, but we recognize the internet creates new and increased opportunities for abuse. For these reasons, when we limit expression, we do it in service of one or more of the following values:",0.734,"- REITERATING - OUR - COMMITMENT - TO - VOICE + Introduction + Every + day, + people + use + Facebook + to + share + their + experiences, + connect + with + friends + and + family, + and + build + communities. + It’s + a + service + for + more + than + 2 + billion + people + to + freely + express + themselves + across + countries + and + cultures + and + in + dozens + of + languages. + The + Facebook + company + recognizes + how + important + it + is + for + Facebook + to + be + a + place + where + people + feel + empowered + to + communicate, + and + we + take + our + role + seriously + in + keeping + abuse + off + the + service. + That’s + why + we + developed + standards + for + what + is + and + isn’t + allowed + on + Facebook. + These + standards + are + based + on + feedback + from + people + and + the + advice + of + experts + in + fields + like + technology, + public + safety + and + human + rights. + To + ensure + everyone’s + voice + is + valued, + we + take + great + care + to + create + standards + that + include + different + views + and + beliefs, + especially + from + people + and + communities + that + might + otherwise + be + overlooked + or + marginalized. + Please + note + that + the + US + English + version + of + the + Community + Standards + reflects + the + most + up + to + date + set + of + the + policies + and + should + be + used + as + the + master + document. + Our + commitment + to + voice   The   goal   of   our   Community   Standards + is - has - always - been   to   create   a   place   for   expression   and   give   people   a   voice. + The + Facebook + company - This - has - not - and - will - not - change. - Building - community - and - bringing - the - world - closer - together - depends - on - people’s - ability - to - share - diverse - views, - experiences, - ideas - and - information. - We - want + wants ?     +
   people   to   be   able   to   talk   openly   about   the   issues   that   matter   to   them,   even   if   some   may   disagree   or   find   them   objectionable.   In   some   cases,   we   allow + content—which - content - for - public - awareness - which   would   otherwise   go   against   our - Community - Standards ? ^
 + standards—if ? ^        +++
 + it’s - – - if - it - is   newsworthy   and   in   the   public   interest.   We   do   this   only   after   weighing   the   public   interest   value   against   the   risk   of - harm + harm, ?     +
   and   we   look   to   international   human   rights   standards   to   make   these   judgments. - As - such, - we - consider - the - newsworthiness - of - content - posted - by - anyone, - including - news - organizations - and - individuals - users. - For - example, - we - have - allowed - content - that - graphically - depicts - war - or - the - consequences - of - war - where - it - is - important - to - public - discourse.   Our   commitment   to   expression   is   paramount,   but   we   recognize   the   internet   creates   new   and   increased   opportunities   for   abuse.   For   these   reasons,   when   we   limit   expression,   we   do   it   in   service   of   one   or   more   of   the   following   values:"
modified/added,8,15.0,"Dignity: We believe that all people are equal in dignity and rights. We expect that people will respect the dignity of others and not harass or degrade others. Our Community Standards apply to everyone, all around the world, and to all types of content. They’re designed to be comprehensive – for example, content that might not be considered hateful may still be removed for violating a different policy. We recognize that words mean different things or affect people differently depending on their local community, language, or background. We work hard to account for these nuances while also applying our policies consistently and fairly to people and their expression. Our enforcement of these standards relies on information available to us. In some cases, this means that we may not detect content and behavior that violates these standards, and in others, enforcement may be limited to circumstances where we have been provided with additional information and context. People can report potentially violating content, including Pages, Groups, Profiles, individual content, and comments. We also give people control over their own experience by allowing them to block, unfollow or hide people and posts. The consequences for violating our Community Standards vary depending on the severity of the violation and the person's history on the platform. For instance, we may warn someone for a first violation, but if they continue to violate our policies, we may restrict their ability to post on Facebook or disable their profile. We also may notify law enforcement when we believe there is a genuine risk of physical harm or a direct threat to public safety. Our Community Standards are a guide for what is and isn’t allowed on Facebook. It is in this spirit that we ask members of the Facebook community to follow these guidelines. Please note that the US English version of the Community Standards reflects the most up-to-date set of the policies and should be used as the master document.","Introduction Every day, people use Facebook to share their experiences, connect with friends and family, and build communities. It’s a service for more than 2 billion people to freely express themselves across countries and cultures and in dozens of languages. The Facebook company recognizes how important it is for Facebook to be a place where people feel empowered to communicate, and we take our role seriously in keeping abuse off the service. That’s why we developed standards for what is and isn’t allowed on Facebook. These standards are based on feedback from people and the advice of experts in fields like technology, public safety and human rights. To ensure everyone’s voice is valued, we take great care to create standards that include different views and beliefs, especially from people and communities that might otherwise be overlooked or marginalized. Please note that the US English version of the Community Standards reflects the most up to date set of the policies and should be used as the master document. Our commitment to voice The goal of our Community Standards is to create a place for expression and give people a voice. The Facebook company wants people to be able to talk openly about the issues that matter to them, even if some may disagree or find them objectionable. In some cases, we allow content—which would otherwise go against our standards—if it’s newsworthy and in the public interest. We do this only after weighing the public interest value against the risk of harm, and we look to international human rights standards to make these judgments. Our commitment to expression is paramount, but we recognize the internet creates new and increased opportunities for abuse. For these reasons, when we limit expression, we do it in service of one or more of the following values:",0.67,"+ Introduction + Every + day, - Dignity: - We - believe - that - all   people + use + Facebook + to - are + share ? ++
 - equal - in - dignity - and - rights. - We - expect - that - people - will - respect - the + their ?    ++
 - dignity - of - others + experiences, + connect + with + friends   and - not - harass + family, + and + build + communities. + It’s + a + service - or + for ? +
 + more + than + 2 + billion + people - degrade - others. - Our - Community - Standards - apply   to - everyone, - all - around - the - world, + freely + express + themselves + across + countries   and - to - all - types + cultures + and + in + dozens   of - content. - They’re - designed + languages. + The + Facebook + company + recognizes + how + important + it + is + for + Facebook   to   be - comprehensive - – - for - example, - content - that - might - not - be - considered - hateful - may - still - be - removed - for - violating   a + place + where - different - policy. - We - recognize - that - words - mean - different - things - or - affect   people + feel + empowered + to - differently - depending - on - their - local - community, ?         ^
 + communicate, ?        ++ ^
 + and + we + take - language, - or - background. - We - work - hard - to - account - for - these - nuances - while - also - applying   our + role + seriously + in + keeping + abuse - policies - consistently - and - fairly - to - people - and - their - expression. - Our - enforcement - of + off ?   +
 - these ?    --
 + the + service. + That’s + why + we + developed   standards - relies - on - information - available - to - us. - In - some - cases, - this - means - that - we - may - not - detect - content - and - behavior - that - violates - these - standards, - and - in - others, - enforcement - may - be - limited - to - circumstances - where - we - have - been - provided - with - additional - information - and - context. - People - can - report - potentially - violating - content, - including - Pages, - Groups, - Profiles, - individual - content, - and - comments. - We - also - give - people - control - over - their - own - experience - by - allowing - them - to - block, - unfollow - or - hide - people - and - posts. - The - consequences - for - violating - our - Community - Standards - vary - depending - on - the - severity - of - the - violation - and - the - person's - history - on - the - platform. - For - instance, - we - may - warn - someone - for - a - first - violation, - but - if - they - continue - to - violate - our - policies, - we - may - restrict - their - ability - to - post - on - Facebook - or - disable - their - profile. - We - also - may - notify - law - enforcement - when - we - believe - there - is - a - genuine - risk - of - physical - harm - or - a - direct - threat - to - public - safety. - Our - Community - Standards - are - a - guide   for   what   is   and   isn’t   allowed   on   Facebook. - It - is + These + standards + are + based + on + feedback + from + people + and + the + advice + of + experts   in - this - spirit + fields + like + technology, + public + safety + and + human + rights. + To + ensure + everyone’s + voice + is + valued, + we + take + great + care + to + create + standards   that - we - ask - members - of - the - Facebook + include + different + views + and + beliefs, + especially + from + people + and - community ?         ^
 + communities ?         ^^^
 - to - follow - these - guidelines. + that + might + otherwise + be + overlooked + or + marginalized.   Please   note   that   the   US   English   version   of   the   Community   Standards   reflects   the   most - up-to-date + up + to + date   set   of   the   policies   and   should   be   used   as   the   master   document. + Our + commitment + to + voice + The + goal + of + our + Community + Standards + is + to + create + a + place + for + expression + and + give + people + a + voice. + The + Facebook + company + wants + people + to + be + able + to + talk + openly + about + the + issues + that + matter + to + them, + even + if + some + may + disagree + or + find + them + objectionable. + In + some + cases, + we + allow + content—which + would + otherwise + go + against + our + standards—if + it’s + newsworthy + and + in + the + public + interest. + We + do + this + only + after + weighing + the + public + interest + value + against + the + risk + of + harm, + and + we + look + to + international + human + rights + standards + to + make + these + judgments. + Our + commitment + to + expression + is + paramount, + but + we + recognize + the + internet + creates + new + and + increased + opportunities + for + abuse. + For + these + reasons, + when + we + limit + expression, + we + do + it + in + service + of + one + or + more + of + the + following + values:"
modified/added,9,21.0,I. Violence and Criminal Behavior,VIOLENCE AND CRIMINAL BEHAVIOR Violence and Incitement Dangerous Individuals and Organizations Coordinating Harm and Publicizing Crime Restricted Goods and Services Fraud and Deception,0.694,- I. + VIOLENCE + AND + CRIMINAL + BEHAVIOR   Violence   and - Criminal - Behavior + Incitement + Dangerous + Individuals + and + Organizations + Coordinating + Harm + and + Publicizing + Crime + Restricted + Goods + and + Services + Fraud + and + Deception
modified/added,10,41.0,II.,POLICIES,0.267,- II. + POLICIES
modified/added,11,17.0,Safety,"SAFETY We’re committed to making Facebook a safe place. Content that threatens people has the potential to intimidate, exclude or silence others and isn’t allowed on Facebook.",0.457,"- Safety + SAFETY + We’re + committed + to + making + Facebook + a + safe + place. + Content + that + threatens + people + has + the + potential + to + intimidate, + exclude + or + silence + others + and + isn’t + allowed + on + Facebook."
modified/added,12,41.0,III.,POLICIES,0.34,- III. + POLICIES
modified/added,14,28.0,IV. Integrity and Authenticity,INTEGRITY AND AUTHENTICITY Account Integrity and Authentic Identity,0.732,"- IV. + INTEGRITY + AND + AUTHENTICITY + Account   Integrity   and - Authenticity ?          ---
 + Authentic + Identity"
